Buffon_omp3,100000000,2,1,3.141884833,0.733689
Buffon_omp3,100000000,2,1,3.141884833,0.733689
Buffon_omp3,1000000000,2,1,3.141572082,7.179679
Buffon_omp3,100000000,2,1,3.141884833,0.733689
Buffon_omp3,1000000000,2,1,3.141572082,7.179679
Buffon_omp3,5000000000,2,1,3.141608450,35.483237
Buffon_omp3,100000000,4,1,3.141661112,0.492611
Buffon_omp3,100000000,4,1,3.141661112,0.492611
Buffon_omp3,1000000000,4,1,3.141581399,4.970074
Buffon_omp3,100000000,4,1,3.141661112,0.492611
Buffon_omp3,1000000000,4,1,3.141581399,4.970074
Buffon_omp3,5000000000,4,1,3.141604097,24.367524
Buffon_omp3,100000000,8,1,3.141587237,0.262326
Buffon_omp3,100000000,8,1,3.141587237,0.262326
Buffon_omp3,1000000000,8,1,3.141705800,3.029031
Buffon_omp3,100000000,8,1,3.141587237,0.262326
Buffon_omp3,1000000000,8,1,3.141705800,3.029031
Buffon_omp3,5000000000,8,1,3.141629596,14.984796
Buffon_omp3,100000000,2,2,3.141953342,0.744551
Buffon_omp3,100000000,2,2,3.141953342,0.744551
Buffon_omp3,1000000000,2,2,3.141527078,7.157693
Buffon_omp3,100000000,2,2,3.141953342,0.744551
Buffon_omp3,1000000000,2,2,3.141527078,7.157693
Buffon_omp3,5000000000,2,2,3.141590196,35.550740
Buffon_omp3,100000000,4,2,3.141666936,0.497507
Buffon_omp3,100000000,4,2,3.141666936,0.497507
Buffon_omp3,1000000000,4,2,3.141653587,4.929737
Buffon_omp3,100000000,4,2,3.141666936,0.497507
Buffon_omp3,1000000000,4,2,3.141653587,4.929737
Buffon_omp3,5000000000,4,2,3.141598367,24.413957
Buffon_omp3,100000000,8,2,3.141643593,0.265432
Buffon_omp3,100000000,8,2,3.141643593,0.265432
Buffon_omp3,1000000000,8,2,3.141583403,3.030842
Buffon_omp3,100000000,8,2,3.141643593,0.265432
Buffon_omp3,1000000000,8,2,3.141583403,3.030842
Buffon_omp3,5000000000,8,2,3.141544921,14.979671
Buffon_omp3,100000000,2,3,3.141737953,0.730287
Buffon_omp3,100000000,2,3,3.141737953,0.730287
Buffon_omp3,1000000000,2,3,3.141553750,7.186403
Buffon_omp3,100000000,2,3,3.141737953,0.730287
Buffon_omp3,1000000000,2,3,3.141553750,7.186403
Buffon_omp3,5000000000,2,3,3.141617894,36.099266
Buffon_omp3,100000000,4,3,3.141604706,0.463003
Buffon_omp3,100000000,4,3,3.141604706,0.463003
Buffon_omp3,1000000000,4,3,3.141565243,4.983826
Buffon_omp3,100000000,4,3,3.141604706,0.463003
Buffon_omp3,1000000000,4,3,3.141565243,4.983826
Buffon_omp3,5000000000,4,3,3.141621529,24.488612
Buffon_omp3,100000000,8,3,3.141317377,0.264761
Buffon_omp3,100000000,8,3,3.141317377,0.264761
Buffon_omp3,1000000000,8,3,3.141608047,3.064314
Buffon_omp3,100000000,8,3,3.141317377,0.264761
Buffon_omp3,1000000000,8,3,3.141608047,3.064314
Buffon_omp3,5000000000,8,3,3.141604599,14.853053
Buffon_omp3,100000000,2,4,3.141242876,0.724975
Buffon_omp3,100000000,2,4,3.141242876,0.724975
Buffon_omp3,1000000000,2,4,3.141673939,7.254099
Buffon_omp3,100000000,2,4,3.141242876,0.724975
Buffon_omp3,1000000000,2,4,3.141673939,7.254099
Buffon_omp3,5000000000,2,4,3.141587870,35.893340
Buffon_omp3,100000000,4,4,3.141267940,0.440761
Buffon_omp3,100000000,4,4,3.141267940,0.440761
Buffon_omp3,1000000000,4,4,3.141575813,4.968117
Buffon_omp3,100000000,4,4,3.141267940,0.440761
Buffon_omp3,1000000000,4,4,3.141575813,4.968117
Buffon_omp3,5000000000,4,4,3.141600135,24.120212
Buffon_omp3,100000000,8,4,3.141823434,0.263284
Buffon_omp3,100000000,8,4,3.141823434,0.263284
Buffon_omp3,1000000000,8,4,3.141602683,3.036440
Buffon_omp3,100000000,8,4,3.141823434,0.263284
Buffon_omp3,1000000000,8,4,3.141602683,3.036440
Buffon_omp3,5000000000,8,4,3.141540552,15.018059
Buffon_omp3,100000000,2,5,3.141724381,0.745854
Buffon_omp3,100000000,2,5,3.141724381,0.745854
Buffon_omp3,1000000000,2,5,3.141616076,7.158341
Buffon_omp3,100000000,2,5,3.141724381,0.745854
Buffon_omp3,1000000000,2,5,3.141616076,7.158341
Buffon_omp3,5000000000,2,5,3.141637921,35.535616
Buffon_omp3,100000000,4,5,3.141779508,0.495949
Buffon_omp3,100000000,4,5,3.141779508,0.495949
Buffon_omp3,1000000000,4,5,3.141589487,4.956334
Buffon_omp3,100000000,4,5,3.141779508,0.495949
Buffon_omp3,1000000000,4,5,3.141589487,4.956334
Buffon_omp3,5000000000,4,5,3.141620775,24.447611
Buffon_omp3,100000000,8,5,3.141625433,0.263957
Buffon_omp3,100000000,8,5,3.141625433,0.263957
Buffon_omp3,1000000000,8,5,3.141630279,3.023896
Buffon_omp3,100000000,8,5,3.141625433,0.263957
Buffon_omp3,1000000000,8,5,3.141630279,3.023896
Buffon_omp3,5000000000,8,5,3.141602091,14.973622
Buffon_omp3,100000000,2,6,3.141259305,0.734706
Buffon_omp3,100000000,2,6,3.141259305,0.734706
Buffon_omp3,1000000000,2,6,3.141594200,7.140464
Buffon_omp3,100000000,2,6,3.141259305,0.734706
Buffon_omp3,1000000000,2,6,3.141594200,7.140464
Buffon_omp3,5000000000,2,6,3.141580641,35.488637
Buffon_omp3,100000000,4,6,3.141403328,0.511768
Buffon_omp3,100000000,4,6,3.141403328,0.511768
Buffon_omp3,1000000000,4,6,3.141680507,4.956725
Buffon_omp3,100000000,4,6,3.141403328,0.511768
Buffon_omp3,1000000000,4,6,3.141680507,4.956725
Buffon_omp3,5000000000,4,6,3.141636566,24.370092
Buffon_omp3,100000000,8,6,3.141463724,0.264007
Buffon_omp3,100000000,8,6,3.141463724,0.264007
Buffon_omp3,1000000000,8,6,3.141647447,3.026749
Buffon_omp3,100000000,8,6,3.141463724,0.264007
Buffon_omp3,1000000000,8,6,3.141647447,3.026749
Buffon_omp3,5000000000,8,6,3.141634468,15.043022
Buffon_omp3,100000000,2,7,3.141333659,0.737151
Buffon_omp3,100000000,2,7,3.141333659,0.737151
Buffon_omp3,1000000000,2,7,3.141587982,7.200052
Buffon_omp3,100000000,2,7,3.141333659,0.737151
Buffon_omp3,1000000000,2,7,3.141587982,7.200052
Buffon_omp3,5000000000,2,7,3.141526681,36.044515
Buffon_omp3,100000000,4,7,3.141237597,0.484509
Buffon_omp3,100000000,4,7,3.141237597,0.484509
Buffon_omp3,1000000000,4,7,3.141708805,4.669633
Buffon_omp3,100000000,4,7,3.141237597,0.484509
Buffon_omp3,1000000000,4,7,3.141708805,4.669633
Buffon_omp3,5000000000,4,7,3.141564548,23.279621
Buffon_omp3,100000000,8,7,3.141572581,0.268165
Buffon_omp3,100000000,8,7,3.141572581,0.268165
Buffon_omp3,1000000000,8,7,3.141503017,3.044371
Buffon_omp3,100000000,8,7,3.141572581,0.268165
Buffon_omp3,1000000000,8,7,3.141503017,3.044371
Buffon_omp3,5000000000,8,7,3.141574281,15.059866
Buffon_omp3,100000000,2,8,3.142012081,0.737007
Buffon_omp3,100000000,2,8,3.142012081,0.737007
Buffon_omp3,1000000000,2,8,3.141660505,7.243684
Buffon_omp3,100000000,2,8,3.142012081,0.737007
Buffon_omp3,1000000000,2,8,3.141660505,7.243684
Buffon_omp3,5000000000,2,8,3.141579710,36.074770
Buffon_omp3,100000000,4,8,3.141692154,0.485309
Buffon_omp3,100000000,4,8,3.141692154,0.485309
Buffon_omp3,1000000000,4,8,3.141584074,4.957850
Buffon_omp3,100000000,4,8,3.141692154,0.485309
Buffon_omp3,1000000000,4,8,3.141584074,4.957850
Buffon_omp3,5000000000,4,8,3.141635121,24.469302
Buffon_omp3,100000000,8,8,3.141301243,0.264758
Buffon_omp3,100000000,8,8,3.141301243,0.264758
Buffon_omp3,1000000000,8,8,3.141566866,3.026934
Buffon_omp3,100000000,8,8,3.141301243,0.264758
Buffon_omp3,1000000000,8,8,3.141566866,3.026934
Buffon_omp3,5000000000,8,8,3.141523295,15.027245
Buffon_omp3,100000000,2,9,3.141594689,0.753936
Buffon_omp3,100000000,2,9,3.141594689,0.753936
Buffon_omp3,1000000000,2,9,3.141568529,7.152656
Buffon_omp3,100000000,2,9,3.141594689,0.753936
Buffon_omp3,1000000000,2,9,3.141568529,7.152656
Buffon_omp3,5000000000,2,9,3.141599839,35.433446
Buffon_omp3,100000000,4,9,3.141173411,0.496176
Buffon_omp3,100000000,4,9,3.141173411,0.496176
Buffon_omp3,1000000000,4,9,3.141747078,4.958265
Buffon_omp3,100000000,4,9,3.141173411,0.496176
Buffon_omp3,1000000000,4,9,3.141747078,4.958265
Buffon_omp3,5000000000,4,9,3.141680940,24.479165
Buffon_omp3,100000000,8,9,3.141811490,0.264679
Buffon_omp3,100000000,8,9,3.141811490,0.264679
Buffon_omp3,1000000000,8,9,3.141632652,3.043218
Buffon_omp3,100000000,8,9,3.141811490,0.264679
Buffon_omp3,1000000000,8,9,3.141632652,3.043218
Buffon_omp3,5000000000,8,9,3.141617275,15.007783
Buffon_omp3,100000000,2,10,3.141975307,0.741311
Buffon_omp3,100000000,2,10,3.141975307,0.741311
Buffon_omp3,1000000000,2,10,3.141449138,7.219417
Buffon_omp3,100000000,2,10,3.141975307,0.741311
Buffon_omp3,1000000000,2,10,3.141449138,7.219417
Buffon_omp3,5000000000,2,10,3.141597616,35.447219
Buffon_omp3,100000000,4,10,3.141419414,0.500692
Buffon_omp3,100000000,4,10,3.141419414,0.500692
Buffon_omp3,1000000000,4,10,3.141508411,4.991827
Buffon_omp3,100000000,4,10,3.141419414,0.500692
Buffon_omp3,1000000000,4,10,3.141508411,4.991827
Buffon_omp3,5000000000,4,10,3.141632930,24.499356
Buffon_omp3,100000000,8,10,3.141647393,0.261942
Buffon_omp3,100000000,8,10,3.141647393,0.261942
Buffon_omp3,1000000000,8,10,3.141463058,3.039073
Buffon_omp3,100000000,8,10,3.141647393,0.261942
Buffon_omp3,1000000000,8,10,3.141463058,3.039073
Buffon_omp3,5000000000,8,10,3.141626222,15.069158
